Numéro de support;Numéro Cartoradio;Numéro de Station;Date de mise en service;Exploitant;"Type d'antenne";"Numéro d'antenne";"Dimension de l'antenne";Directivité;Azimut;Hauteur / sol;Type service;Système;Début;Fin;Unité
30519;106454;0352700086;17/12/1999;SFR;Tout en 1(panneau-faisceau orientable);18618;2.7;Directif;120.0;19.3;TEL MOBILE;GSM 900;906.2;914.9;MHz
30519;106454;0352700086;17/12/1999;SFR;Tout en 1(panneau-faisceau orientable);18618;2.7;Directif;120.0;19.3;TEL MOBILE;GSM 900;951.2;959.9;MHz
30519;106454;0352700086;17/12/1999;SFR;Tout en 1(panneau-faisceau orientable);18619;2.7;Directif;0.0;28.7;TEL MOBILE;GSM 900;906.2;914.9;MHz
30519;106454;0352700086;17/12/1999;SFR;Tout en 1(panneau-faisceau orientable);18619;2.7;Directif;0.0;28.7;TEL MOBILE;GSM 900;951.2;959.9;MHz
30519;106454;0352700086;17/12/1999;SFR;Tout en 1(panneau-faisceau orientable);18620;2.7;Directif;240.0;19.3;TEL MOBILE;GSM 900;906.2;914.9;MHz
30519;106454;0352700086;17/12/1999;SFR;Tout en 1(panneau-faisceau orientable);18620;2.7;Directif;240.0;19.3;TEL MOBILE;GSM 900;951.2;959.9;MHz
30519;106454;0352700086;02/10/2014;SFR;Tout en 1(panneau-faisceau orientable);18618;2.7;Directif;120.0;19.3;TEL MOBILE;LTE 800;801.0;811.0;MHz
30519;106454;0352700086;02/10/2014;SFR;Tout en 1(panneau-faisceau orientable);18618;2.7;Directif;120.0;19.3;TEL MOBILE;LTE 800;842.0;852.0;MHz
30519;106454;0352700086;02/10/2014;SFR;Tout en 1(panneau-faisceau orientable);18619;2.7;Directif;0.0;28.7;TEL MOBILE;LTE 800;801.0;811.0;MHz
30519;106454;0352700086;02/10/2014;SFR;Tout en 1(panneau-faisceau orientable);18619;2.7;Directif;0.0;28.7;TEL MOBILE;LTE 800;842.0;852.0;MHz
30519;106454;0352700086;02/10/2014;SFR;Tout en 1(panneau-faisceau orientable);18620;2.7;Directif;240.0;19.3;TEL MOBILE;LTE 800;801.0;811.0;MHz
30519;106454;0352700086;02/10/2014;SFR;Tout en 1(panneau-faisceau orientable);18620;2.7;Directif;240.0;19.3;TEL MOBILE;LTE 800;842.0;852.0;MHz
30519;106454;0352700086;16/01/2015;SFR;Tout en 1(panneau-faisceau orientable);18618;2.7;Directif;120.0;19.3;TEL MOBILE;UMTS 900;906.2;914.9;MHz
30519;106454;0352700086;16/01/2015;SFR;Tout en 1(panneau-faisceau orientable);18618;2.7;Directif;120.0;19.3;TEL MOBILE;UMTS 900;951.2;959.9;MHz
30519;106454;0352700086;16/01/2015;SFR;Tout en 1(panneau-faisceau orientable);18619;2.7;Directif;0.0;28.7;TEL MOBILE;UMTS 900;906.2;914.9;MHz
30519;106454;0352700086;16/01/2015;SFR;Tout en 1(panneau-faisceau orientable);18619;2.7;Directif;0.0;28.7;TEL MOBILE;UMTS 900;951.2;959.9;MHz
30519;106454;0352700086;16/01/2015;SFR;Tout en 1(panneau-faisceau orientable);18620;2.7;Directif;240.0;19.3;TEL MOBILE;UMTS 900;906.2;914.9;MHz
30519;106454;0352700086;16/01/2015;SFR;Tout en 1(panneau-faisceau orientable);18620;2.7;Directif;240.0;19.3;TEL MOBILE;UMTS 900;951.2;959.9;MHz
30519;106454;0352700086;02/06/2017;SFR;Tout en 1(panneau-faisceau orientable);18618;2.7;Directif;120.0;19.3;TEL MOBILE;LTE 1800;1730.0;1750.0;MHz
30519;106454;0352700086;02/06/2017;SFR;Tout en 1(panneau-faisceau orientable);18618;2.7;Directif;120.0;19.3;TEL MOBILE;LTE 1800;1825.0;1845.0;MHz
30519;106454;0352700086;02/06/2017;SFR;Tout en 1(panneau-faisceau orientable);18618;2.7;Directif;120.0;19.3;TEL MOBILE;LTE 2600;2500.0;2515.0;MHz
30519;106454;0352700086;02/06/2017;SFR;Tout en 1(panneau-faisceau orientable);18618;2.7;Directif;120.0;19.3;TEL MOBILE;LTE 2600;2620.0;2635.0;MHz
30519;106454;0352700086;02/06/2017;SFR;Tout en 1(panneau-faisceau orientable);18618;2.7;Directif;120.0;19.3;TEL MOBILE;UMTS 2100;1915.1;1920.1;MHz
30519;106454;0352700086;02/06/2017;SFR;Tout en 1(panneau-faisceau orientable);18618;2.7;Directif;120.0;19.3;TEL MOBILE;UMTS 2100;1920.5;1935.3;MHz
30519;106454;0352700086;02/06/2017;SFR;Tout en 1(panneau-faisceau orientable);18618;2.7;Directif;120.0;19.3;TEL MOBILE;UMTS 2100;1959.9;1964.9;MHz
30519;106454;0352700086;02/06/2017;SFR;Tout en 1(panneau-faisceau orientable);18618;2.7;Directif;120.0;19.3;TEL MOBILE;UMTS 2100;2110.5;2125.3;MHz
30519;106454;0352700086;02/06/2017;SFR;Tout en 1(panneau-faisceau orientable);18618;2.7;Directif;120.0;19.3;TEL MOBILE;UMTS 2100;2149.9;2154.9;MHz
30519;106454;0352700086;02/06/2017;SFR;Tout en 1(panneau-faisceau orientable);18619;2.7;Directif;0.0;28.7;TEL MOBILE;LTE 1800;1730.0;1750.0;MHz
30519;106454;0352700086;02/06/2017;SFR;Tout en 1(panneau-faisceau orientable);18619;2.7;Directif;0.0;28.7;TEL MOBILE;LTE 1800;1825.0;1845.0;MHz
30519;106454;0352700086;02/06/2017;SFR;Tout en 1(panneau-faisceau orientable);18619;2.7;Directif;0.0;28.7;TEL MOBILE;LTE 2600;2500.0;2515.0;MHz
30519;106454;0352700086;02/06/2017;SFR;Tout en 1(panneau-faisceau orientable);18619;2.7;Directif;0.0;28.7;TEL MOBILE;LTE 2600;2620.0;2635.0;MHz
30519;106454;0352700086;02/06/2017;SFR;Tout en 1(panneau-faisceau orientable);18619;2.7;Directif;0.0;28.7;TEL MOBILE;UMTS 2100;1915.1;1920.1;MHz
30519;106454;0352700086;02/06/2017;SFR;Tout en 1(panneau-faisceau orientable);18619;2.7;Directif;0.0;28.7;TEL MOBILE;UMTS 2100;1920.5;1935.3;MHz
30519;106454;0352700086;02/06/2017;SFR;Tout en 1(panneau-faisceau orientable);18619;2.7;Directif;0.0;28.7;TEL MOBILE;UMTS 2100;1959.9;1964.9;MHz
30519;106454;0352700086;02/06/2017;SFR;Tout en 1(panneau-faisceau orientable);18619;2.7;Directif;0.0;28.7;TEL MOBILE;UMTS 2100;2110.5;2125.3;MHz
30519;106454;0352700086;02/06/2017;SFR;Tout en 1(panneau-faisceau orientable);18619;2.7;Directif;0.0;28.7;TEL MOBILE;UMTS 2100;2149.9;2154.9;MHz
30519;106454;0352700086;02/06/2017;SFR;Tout en 1(panneau-faisceau orientable);18620;2.7;Directif;240.0;19.3;TEL MOBILE;LTE 1800;1730.0;1750.0;MHz
30519;106454;0352700086;02/06/2017;SFR;Tout en 1(panneau-faisceau orientable);18620;2.7;Directif;240.0;19.3;TEL MOBILE;LTE 1800;1825.0;1845.0;MHz
30519;106454;0352700086;02/06/2017;SFR;Tout en 1(panneau-faisceau orientable);18620;2.7;Directif;240.0;19.3;TEL MOBILE;LTE 2600;2500.0;2515.0;MHz
30519;106454;0352700086;02/06/2017;SFR;Tout en 1(panneau-faisceau orientable);18620;2.7;Directif;240.0;19.3;TEL MOBILE;LTE 2600;2620.0;2635.0;MHz
30519;106454;0352700086;02/06/2017;SFR;Tout en 1(panneau-faisceau orientable);18620;2.7;Directif;240.0;19.3;TEL MOBILE;UMTS 2100;1915.1;1920.1;MHz
30519;106454;0352700086;02/06/2017;SFR;Tout en 1(panneau-faisceau orientable);18620;2.7;Directif;240.0;19.3;TEL MOBILE;UMTS 2100;1920.5;1935.3;MHz
30519;106454;0352700086;02/06/2017;SFR;Tout en 1(panneau-faisceau orientable);18620;2.7;Directif;240.0;19.3;TEL MOBILE;UMTS 2100;1959.9;1964.9;MHz
30519;106454;0352700086;02/06/2017;SFR;Tout en 1(panneau-faisceau orientable);18620;2.7;Directif;240.0;19.3;TEL MOBILE;UMTS 2100;2110.5;2125.3;MHz
30519;106454;0352700086;02/06/2017;SFR;Tout en 1(panneau-faisceau orientable);18620;2.7;Directif;240.0;19.3;TEL MOBILE;UMTS 2100;2149.9;2154.9;MHz
30519;106454;0352700086;28/10/2021;SFR;Tout en 1(panneau-faisceau orientable);18618;2.7;Directif;120.0;19.3;TEL MOBILE;5G NR 3500;3490.0;3570.0;MHz
30519;106454;0352700086;28/10/2021;SFR;Tout en 1(panneau-faisceau orientable);18619;2.7;Directif;0.0;28.7;TEL MOBILE;5G NR 3500;3490.0;3570.0;MHz
30519;106454;0352700086;28/10/2021;SFR;Tout en 1(panneau-faisceau orientable);18620;2.7;Directif;240.0;19.3;TEL MOBILE;5G NR 3500;3490.0;3570.0;MHz
93538;199704;0352290127;15/01/2000;ORANGE;Panneau;169105;2.7;Directif;270.0;24.0;TEL MOBILE;GSM 900;889.9;898.6;MHz
93538;199704;0352290127;15/01/2000;ORANGE;Panneau;169105;2.7;Directif;270.0;24.0;TEL MOBILE;GSM 900;934.9;943.6;MHz
93538;199704;0352290127;15/01/2000;ORANGE;Panneau;169109;2.7;Directif;30.0;22.0;TEL MOBILE;GSM 900;889.9;898.6;MHz
93538;199704;0352290127;15/01/2000;ORANGE;Panneau;169109;2.7;Directif;30.0;22.0;TEL MOBILE;GSM 900;934.9;943.6;MHz
93538;199704;0352290127;15/01/2000;ORANGE;Panneau;169110;2.7;Directif;150.0;22.0;TEL MOBILE;GSM 900;889.9;898.6;MHz
