PLMN;SYSTEM;XCI;xNBID;LOCAL_CID;LAC/TAC;PCI/PSC/BSIC;ARFCN;BAND;RSSI;RSRP/RSCP;RSRQ/ECIO;SNR;CQI;TA;DISTANCE;DELTA_AZI;LAT;LON;SPEED;GPS_ACCURACY;UL;DL;BANDWIDTH;BANDWIDTHS;CA;NR_STATE;NARFCN;NR_BAND;NR_PCI;NR_SS_RSRP;NR_SS_RSRQ;NR_SS_SINR;NR_CSI_RSRP;NR_CSI_RSRQ;NR_CSI_SINR;CLF_LABEL;CLF_LOC;CLF_DESC;DATE;TIME;ROAMING
20810;4;160525573;627053;5;49402;215;1501;1800 B3;-71;-106;-14;-2.0;;;;;48.119754;-1.629433;0;342;0;0;20000;20;1;connected;;;;;;;;;;--;--;Cell not found in the clf database!;2025/07/08;14:11:31;HOME
20810;4;160525573;627053;5;49402;215;1501;1800 B3;-71;-106;-14;-2.0;;;;;48.120002;-1.629496;4;4;0;0;20000;20;1;connected;;;;;;;;;;--;--;Cell not found in the clf database!;2025/07/08;14:11:31;HOME
20810;4;160525573;627053;5;49402;215;1501;1800 B3;-71;-106;-14;-2.0;;8;;;48.119997;-1.629533;3;4;6;13;20000;20;1;connected;;;;;;;;;;--;--;Cell not found in the clf database!;2025/07/08;14:11:32;HOME
20810;4;160525573;627053;5;49402;215;1501;1800 B3;-71;-112;-18;-2.0;;8;;;48.120001;-1.629546;4;4;0;0;20000;20;1;connected;;;;;;;;;;--;--;Cell not found in the clf database!;2025/07/08;14:11:34;HOME
20810;4;160525573;627053;5;49402;215;1501;1800 B3;-71;-112;-18;-2.0;;8;;;48.120003;-1.629564;7;4;0;0;20000;20;1;connected;;;;;;;;;;--;--;Cell not found in the clf database!;2025/07/08;14:11:35;HOME
20810;4;160525573;627053;5;49402;215;1501;1800 B3;-71;-112;-18;-2.0;;8;;;48.120009;-1.629579;6;4;0;0;20000;20;1;connected;;;;;;;;;;--;--;Cell not found in the clf database!;2025/07/08;14:11:36;HOME
20810;4;160525573;627053;5;49402;215;1501;1800 B3;-71;-110;-17;-2.0;;8;;;48.120023;-1.629583;7;4;0;0;20000;20;1;connected;;;;;;;;;;--;--;Cell not found in the clf database!;2025/07/08;14:11:37;HOME
20810;4;160525573;627053;5;49402;215;1501;1800 B3;-77;-110;-17;-5.0;;8;;;48.120039;-1.629584;4;4;0;0;20000;20;1;connected;;;;;;;;;;--;--;Cell not found in the clf database!;2025/07/08;14:11:38;HOME
20810;4;160525573;627053;5;49402;215;1501;1800 B3;-77;-116;-18;-5.0;;8;;;48.120047;-1.629591;4;4;0;0;20000;20;1;connected;;;;;;;;;;--;--;Cell not found in the clf database!;2025/07/08;14:11:39;HOME
20810;4;160525573;627053;5;49402;215;1501;1800 B3;-73;-116;-18;-5.0;;8;;;48.120056;-1.629594;5;5;5;0;20000;20;1;connected;;;;;;;;;;--;--;Cell not found in the clf database!;2025/07/08;14:11:41;HOME
