,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Time,Latitude,Longitude,Attenuation,Preamp 1,Preamp 2,DNC Preamp,Carrier No/Index,Center Frequency (MHz),Technology (5G NR LTE FDD LTE TDD),Bandwidth,SSB SCS,SSB Center Frequency (MHZ),L,Cyclic Prefix,No,PCI,Group,Sector,SSB Index,DM-RS,PBCH,S-SS RSRP / RSRP (dBm),S-SS RSRQ / RSRQ (dB),P-SS SNR / P-SS SNR (dB),S-SS SINR / RS SINR (dB),P-SS RSRP / P-SS RSRP (dBm),S-SS RSSI / S-SS RSSI (dBm),/ S-SS RSRP (dBm),/ S-SS Ec/Io (dB),Time Error (us),PBCH DM-RS RSRP (dBm) /,PBCH DM-RS EVM (%) /,VIAVI Solutions;ONA-800;WMTK0002920146;2.210.0003r<Mode>; NSA Signal Analyzer / NSA Route Map
0,0,0,0,"Friday, June 16, 2023",04:19:04.663 PM CEST,48.120049,-1.629628,0,On,Off,Off,1|0,3530.01,5G NR,80,30.0,3529.92,8,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
1,1,1,1,"Friday, June 16, 2023",04:19:05.667 PM CEST,48.1200495,-1.629627,0,On,Off,Off,1|1,3530.01,5G NR,80,30.0,3529.92,8,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
2,2,2,2,"Friday, June 16, 2023",04:19:06.663 PM CEST,48.12005,-1.6296257,0,On,Off,Off,1|2,3530.01,5G NR,80,30.0,3529.92,8,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
3,3,3,3,"Friday, June 16, 2023",04:19:07.715 PM CEST,48.1200502,-1.6296247,0,On,Off,Off,1|3,3530.01,5G NR,80,30.0,3529.92,8,--,0,82,27,1,3,3,--,-105.53,-12.04,14.82,4.56,-105.56,-84.49,--,--,500.81,-104.37,143.23,
4,4,4,4,"Friday, June 16, 2023",04:19:07.715 PM CEST,48.1200502,-1.6296247,0,On,Off,Off,1|3,3530.01,5G NR,80,30.0,3529.92,8,--,1,81,27,0,2,2,--,-113.05,-15.59,10.12,4.88,-112.30,-92.01,--,--,500.00,-107.68,231.54,
5,5,5,5,"Friday, June 16, 2023",04:19:07.715 PM CEST,48.1200502,-1.6296247,0,On,Off,Off,1|3,3530.01,5G NR,80,30.0,3529.92,8,--,2,82,27,1,2,2,--,-115.45,-17.65,9.39,4.19,-114.93,-94.41,--,--,286.74,-108.20,174.80,
6,6,6,6,"Friday, June 16, 2023",04:19:07.715 PM CEST,48.1200502,-1.6296247,0,On,Off,Off,1|3,3530.01,5G NR,80,30.0,3529.92,8,--,3,82,27,1,1,1,--,-116.39,-14.97,6.07,4.15,-116.20,-95.35,--,--,0.81,-112.11,194.68,
7,7,7,7,"Friday, June 16, 2023",04:19:09.096 PM CEST,48.12005,-1.6296243,0,On,Off,Off,1|4,3530.01,5G NR,80,30.0,3529.92,8,--,0,82,27,1,3,3,--,-105.53,-12.04,14.82,4.56,-105.56,-84.49,--,--,500.81,-104.37,143.23,
8,8,8,8,"Friday, June 16, 2023",04:19:09.096 PM CEST,48.12005,-1.6296243,0,On,Off,Off,1|4,3530.01,5G NR,80,30.0,3529.92,8,--,1,81,27,0,2,2,--,-113.05,-15.59,10.12,4.88,-112.30,-92.01,--,--,500.00,-107.68,231.54,
9,9,9,9,"Friday, June 16, 2023",04:19:09.096 PM CEST,48.12005,-1.6296243,0,On,Off,Off,1|4,3530.01,5G NR,80,30.0,3529.92,8,--,2,82,27,1,2,2,--,-115.45,-17.65,9.39,4.19,-114.93,-94.41,--,--,286.74,-108.20,174.80,
10,10,10,10,"Friday, June 16, 2023",04:19:09.096 PM CEST,48.12005,-1.6296243,0,On,Off,Off,1|4,3530.01,5G NR,80,30.0,3529.92,8,--,3,82,27,1,1,1,--,-116.39,-14.97,6.07,4.15,-116.20,-95.35,--,--,0.81,-112.11,194.68,
11,11,11,11,"Friday, June 16, 2023",04:19:09.673 PM CEST,48.1200493,-1.6296253,0,On,Off,Off,1|5,3530.01,5G NR,80,30.0,3529.92,8,--,0,82,27,1,3,3,--,-105.53,-12.04,14.82,4.56,-105.56,-84.49,--,--,500.81,-104.37,143.23,
12,12,12,12,"Friday, June 16, 2023",04:19:09.673 PM CEST,48.1200493,-1.6296253,0,On,Off,Off,1|5,3530.01,5G NR,80,30.0,3529.92,8,--,1,81,27,0,2,2,--,-113.05,-15.59,10.12,4.88,-112.30,-92.01,--,--,500.00,-107.68,231.54,
13,13,13,13,"Friday, June 16, 2023",04:19:09.673 PM CEST,48.1200493,-1.6296253,0,On,Off,Off,1|5,3530.01,5G NR,80,30.0,3529.92,8,--,2,82,27,1,2,2,--,-115.45,-17.65,9.39,4.19,-114.93,-94.41,--,--,286.74,-108.20,174.80,
14,14,14,14,"Friday, June 16, 2023",04:19:09.673 PM CEST,48.1200493,-1.6296253,0,On,Off,Off,1|5,3530.01,5G NR,80,30.0,3529.92,8,--,3,82,27,1,1,1,--,-116.39,-14.97,6.07,4.15,-116.20,-95.35,--,--,0.81,-112.11,194.68,
15,15,15,15,"Friday, June 16, 2023",04:19:10.661 PM CEST,48.120049,-1.6296255,0,On,Off,Off,1|6,3530.01,5G NR,80,30.0,3529.92,8,--,0,82,27,1,3,3,--,-105.53,-12.04,14.82,4.56,-105.56,-84.49,--,--,500.81,-104.37,143.23,
16,16,16,16,"Friday, June 16, 2023",04:19:10.661 PM CEST,48.120049,-1.6296255,0,On,Off,Off,1|6,3530.01,5G NR,80,30.0,3529.92,8,--,1,81,27,0,2,2,--,-113.05,-15.59,10.12,4.88,-112.30,-92.01,--,--,500.00,-107.68,231.54,
17,17,17,17,"Friday, June 16, 2023",04:19:10.661 PM CEST,48.120049,-1.6296255,0,On,Off,Off,1|6,3530.01,5G NR,80,30.0,3529.92,8,--,2,82,27,1,2,2,--,-115.45,-17.65,9.39,4.19,-114.93,-94.41,--,--,286.74,-108.20,174.80,
18,18,18,18,"Friday, June 16, 2023",04:19:10.661 PM CEST,48.120049,-1.6296255,0,On,Off,Off,1|6,3530.01,5G NR,80,30.0,3529.92,8,--,3,82,27,1,1,1,--,-116.39,-14.97,6.07,4.15,-116.20,-95.35,--,--,0.81,-112.11,194.68,
19,19,19,19,"Friday, June 16, 2023",04:19:11.662 PM CEST,48.1200488,-1.6296255,0,On,Off,Off,1|7,3530.01,5G NR,80,30.0,3529.92,8,--,0,82,27,1,3,3,--,-101.38,-11.04,17.72,8.23,-101.38,-80.35,--,--,501.17,-100.39,47.65,
20,20,20,20,"Friday, June 16, 2023",04:19:11.662 PM CEST,48.1200488,-1.6296255,0,On,Off,Off,1|7,3530.01,5G NR,80,30.0,3529.92,8,--,1,82,27,1,2,2,--,-109.99,-14.18,12.77,3.08,-109.46,-88.95,--,--,287.11,-106.29,180.60,
21,21,21,21,"Friday, June 16, 2023",04:19:11.662 PM CEST,48.1200488,-1.6296255,0,On,Off,Off,1|7,3530.01,5G NR,80,30.0,3529.92,8,--,2,81,27,0,2,2,--,-111.32,-15.50,12.77,3.09,-111.09,-90.28,--,--,500.39,-106.09,127.39,
22,22,22,22,"Friday, June 16, 2023",04:19:11.662 PM CEST,48.1200488,-1.6296255,0,On,Off,Off,1|7,3530.01,5G NR,80,30.0,3529.92,8,--,3,82,27,1,1,1,--,-114.95,-13.80,5.92,4.07,-114.51,-93.91,--,--,1.17,-111.95,276.07,
23,23,23,23,"Friday, June 16, 2023",04:19:11.662 PM CEST,48.1200488,-1.6296255,0,On,Off,Off,1|7,3530.01,5G NR,80,30.0,3529.92,8,--,4,81,27,0,0,0,--,-116.36,-17.50,8.55,3.82,-115.22,-95.32,--,--,0.39,-109.58,258.67,
24,24,24,24,"Friday, June 16, 2023",04:19:12.662 PM CEST,48.1200485,-1.6296255,0,On,Off,Off,1|8,3530.01,5G NR,80,30.0,3529.92,8,--,0,82,27,1,3,3,--,-101.38,-11.04,17.72,8.23,-101.38,-80.35,--,--,501.17,-100.39,47.65,
